what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1410943058624
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943058715
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1410943058781
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943058815
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410943063214
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943063215
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410943066417
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943069842
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943069899
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410943074696
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943078551
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943078585
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943082000
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943082000
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410943083768
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410943083768
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410943086008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410943102264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410944422119
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1410944425398
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.debug",1410944436523
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410944437249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410944450313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410944465218
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410944555948
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410944556022
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410944562553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410944602999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410945982316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946012642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946432439
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1410946434692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946437025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946439304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946439621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946448719
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410946453797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410946459731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947213136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947213154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947215640
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1410947215839
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1410947215861
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410947216644
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1410947216968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947220107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947259202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947259217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947261308
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1410947261642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947261714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947262534
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1410947262794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947265684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947352358
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410947352437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947367195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947517393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947546338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947707056
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410947717952
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410947718009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410947728371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410948276941
